,season,id,name,position,team,conference,usage.overall,usage.pass,usage.rush,usage.firstDown,usage.secondDown,usage.thirdDown,usage.standardDowns,usage.passingDowns
1001,2024,4682792,Jed Castles,TE,Abilene Christian,,0.021,0.035,0.0,0.02,0.014,0.023,0.022,0.019
1002,2024,4682904,Zahir Abdus-Salaam,RB,Western Michigan,MAC,0.165,0.088,0.225,0.169,0.174,0.176,0.165,0.164
1003,2024,4682952,Scott Giuliano,TE,Harvard,,0.015,0.029,0.0,0.022,0.015,0.0,0.014,0.019
1004,2024,4683007,JaCorey Hyder,TE,Lamar,,0.044,0.09,0.0,0.074,0.012,0.036,0.049,0.034
1005,2024,4683012,Eddie Lee Marburger,QB,UTSA,AAC,0.105,0.161,0.037,0.089,0.098,0.127,0.1,0.114
1006,2024,4683058,Brendan Sullivan,QB,Iowa,B1G,0.192,0.328,0.119,0.126,0.194,0.306,0.176,0.235
1007,2024,4683110,Caden Jumper,TE,Murray State,,0.021,0.038,0.006,0.021,0.009,0.027,0.028,0.008
1008,2024,4683111,Jaden Bradley,WR,UNLV,MWC,0.025,0.064,0.004,0.03,0.032,0.011,0.023,0.031
1009,2024,4683114,Will Pauling,WR,Wisconsin,B1G,0.072,0.149,0.006,0.061,0.095,0.05,0.057,0.11
1010,2024,4683119,Tyler Moore,TE,Iowa State,B12,0.016,0.033,0.0,0.012,0.016,0.014,0.015,0.018
1011,2024,4683127,Ryan Hoerstkamp,TE,Middle Tennessee,CUSA,0.016,0.024,0.0,0.0,0.0,0.071,0.0,0.04
1012,2024,4683137,Drake Martinez,TE,Houston Christian,,0.03,0.07,0.0,0.021,0.039,0.029,0.03,0.03
1013,2024,4683144,Myles Alston,WR,Old Dominion,SBC,0.041,0.092,0.0,0.015,0.04,0.1,0.024,0.075
1014,2024,4683151,Deion Burks,WR,Oklahoma,SEC,0.122,0.209,0.036,0.131,0.091,0.167,0.115,0.135
1015,2024,4683153,Skyler Bell,WR,UConn,Ind,0.065,0.144,0.0,0.053,0.064,0.098,0.056,0.085
1016,2024,4683159,Lewis Bond,WR,Boston College,ACC,0.085,0.192,0.008,0.056,0.09,0.137,0.058,0.149
1017,2024,4683164,Shakhi Carson,RB,Stony Brook,,0.059,0.042,0.074,0.047,0.051,0.086,0.065,0.045
1018,2024,4683165,Jaden Nixon,RB,Western Michigan,MAC,0.199,0.031,0.331,0.215,0.239,0.12,0.231,0.121
1019,2024,4683174,Drew Biber,TE,Purdue,B1G,0.032,0.053,0.0,0.034,0.046,0.013,0.03,0.035
1020,2024,4683182,Nate Yarnell,QB,Pittsburgh,ACC,0.363,0.513,0.095,0.304,0.386,0.473,0.322,0.446
1021,2024,4683206,Orion Peters,WR,Idaho,,0.017,0.0,0.026,0.0,0.0,0.0,0.0,0.048
1022,2024,4683208,Branden Alvarez,WR,Portland State,,0.056,0.141,0.0,0.035,0.083,0.06,0.042,0.084
1023,2024,4683210,Brady Hunt,TE,South Carolina,SEC,0.014,0.033,0.0,0.0,0.022,0.042,0.0,0.047
1024,2024,4683218,Zy McDonald,QB,Jackson State,,0.092,0.148,0.066,0.076,0.077,0.145,0.075,0.129
1025,2024,4683219,Patrick Smith,RB,UT Martin,,0.262,0.053,0.438,0.314,0.277,0.16,0.299,0.195
