,id,season,seasonType,week,startDate,homeTeam,homeConference,homeClassification,homeScore,awayTeam,awayConference,awayClassification,awayScore,provider,spread,formattedSpread,spreadOpen,overUnder,overUnderOpen,homeMoneyline,awayMoneyline,0
773,401634187,2024,regular,11,2024-11-09T19:00:00.000Z,Murray State,MVFC,fcs,31.0,Missouri State,MVFC,fcs,59.0,ESPN Bet,24.0,Missouri State -24,,58.5,,,,
774,401634204,2024,regular,11,2024-11-09T19:00:00.000Z,North Dakota,MVFC,fcs,7.0,South Dakota State,MVFC,fcs,38.0,ESPN Bet,17.0,South Dakota State -17,,55.5,,,,
775,401634244,2024,regular,11,2024-11-09T18:00:00.000Z,Southern Illinois,MVFC,fcs,37.0,Youngstown State,MVFC,fcs,33.0,ESPN Bet,-0.5,Southern Illinois -0.5,,54.5,,,,
776,401638688,2024,regular,11,2024-11-09T19:00:00.000Z,Valparaiso,Pioneer,fcs,17.0,Butler,Pioneer,fcs,24.0,ESPN Bet,14.5,Butler -14.5,,45.5,,,,
777,401638689,2024,regular,11,2024-11-09T19:00:00.000Z,St. Thomas (MN),Pioneer,fcs,19.0,Drake,Pioneer,fcs,22.0,ESPN Bet,4.5,Drake -4.5,,42.5,,,,
778,401638690,2024,regular,11,2024-11-09T18:00:00.000Z,Stetson,Pioneer,fcs,31.0,Marist,Pioneer,fcs,40.0,ESPN Bet,-0.5,Stetson -0.5,,53.5,,,,
779,401638691,2024,regular,11,2024-11-09T18:00:00.000Z,Davidson,Pioneer,fcs,31.0,Morehead State,Pioneer,fcs,14.0,ESPN Bet,-7.0,Davidson -7,,55.5,,,,
780,401654460,2024,regular,11,2024-11-09T17:00:00.000Z,Yale,Ivy,fcs,56.0,Brown,Ivy,fcs,34.0,ESPN Bet,-10.0,Yale -10,,57.5,,,,
781,401654494,2024,regular,11,2024-11-09T17:00:00.000Z,Harvard,Ivy,fcs,26.0,Columbia,Ivy,fcs,6.0,ESPN Bet,-7.0,Harvard -7,,46.5,,,,
782,401654502,2024,regular,11,2024-11-09T17:00:00.000Z,Delaware State,MEAC,fcs,28.0,Morgan State,MEAC,fcs,36.0,ESPN Bet,14.5,Morgan State -14.5,,44.5,,,,
783,401654508,2024,regular,11,2024-11-09T18:00:00.000Z,Cornell,Ivy,fcs,49.0,Pennsylvania,Ivy,fcs,67.0,ESPN Bet,2.5,Pennsylvania -2.5,,51.5,,,,
784,401654579,2024,regular,11,2024-11-09T18:00:00.000Z,Stonehill,NEC,fcs,17.0,Central Connecticut,NEC,fcs,21.0,ESPN Bet,15.0,Central Connecticut -15,,52.5,,,,
785,401654598,2024,regular,11,2024-11-09T17:00:00.000Z,Sacred Heart,FCS Independents,fcs,7.0,Long Island University,NEC,fcs,28.0,ESPN Bet,3.0,Long Island University -3,,42.5,,,,
786,401654630,2024,regular,11,2024-11-09T18:00:00.000Z,Colgate,Patriot,fcs,20.0,Lafayette,Patriot,fcs,21.0,ESPN Bet,3.5,Lafayette -3.5,,50.5,,,,
787,401654652,2024,regular,11,2024-11-09T18:00:00.000Z,Bucknell,Patriot,fcs,28.0,Fordham,Patriot,fcs,27.0,ESPN Bet,-3.0,Bucknell -3,,55.5,,,,
