,player_name,player_id,comp,att,yds,avg,td,int,qbr,week,completion_pct,yards_per_attempt,td_rate,int_rate,id
78,Eddie Lee Marburger,4683012,0,1,0,0.0,0,1,0.0,3,0.0,0.0,0.0,1.0,2636
79,Eli Heidenreich,5081508,0,1,0,0.0,0,0,3.6,1,0.0,0.0,0.0,0.0,2426
80,Eli Holstein,48708190,179,290,2225,79.0,17,7,469.1,66,6.1556159420289855,78.92753623188406,0.5904761904761904,0.369642857142857,2210
81,Eli Stowers,8863148,1,2,17,17.0,1,0,102.4,12,1.0,17.0,1.0,0.0,476
82,Elijah Arroyo,4678006,1,1,7,7.0,1,0,100.0,9,1.0,7.0,1.0,0.0,2390
83,Elijah Brown,15237954,28,48,274,21.4,2,3,123.10000000000001,19,2.0555555555555554,21.305059523809526,0.1741071428571428,0.1736111111111111,72
84,Emory Williams,10151600,16,26,187,15.3,1,1,103.6,4,1.2738095238095237,15.273809523809522,0.0833333333333333,0.0714285714285714,4780
85,Ethan Garbers,4429068,22,36,281,7.8,2,1,47.4,4,0.6111111111111112,7.805555555555555,0.0555555555555555,0.0277777777777777,26
86,Ethan Grunkemeyer,5144078,1,2,9,4.5,0,1,7.3,1,0.5,4.5,0.0,0.5,213
87,Ethan Hampton,4618083,14,29,159,5.5,1,2,19.8,5,0.4827586206896552,5.482758620689655,0.0344827586206896,0.0689655172413793,2459
88,Ethan Vasko,4832918,10,21,222,10.6,1,1,45.1,4,0.4761904761904761,10.571428571428571,0.0476190476190476,0.0476190476190476,324
89,Evan Bullock,5076949,26,43,190,4.4,2,0,23.6,13,0.6046511627906976,4.418604651162791,0.0465116279069767,0.0,2348
90,Fernando Mendoza,58046976,290,422,3237,94.4,18,6,793.3,78,8.155760539127678,94.30001174549857,0.5474822310522104,0.1843957541219202,300
91,Forrest Brock,5151231,12,25,128,5.1,0,2,7.0,1,0.48,5.12,0.0,0.08,218
92,Garrett Greene,4429847,16,30,210,7.0,2,2,80.7,3,0.5333333333333333,7.0,0.0666666666666666,0.0666666666666666,277
93,Garrett Nussmeier,59380711,336,524,4039,101.4,29,12,1031.1,90,8.484311912677166,101.4071503616893,0.7402037742324301,0.2788443393551751,1287
94,Gaston Moore,23485610,16,27,201,34.1,2,2,156.0,36,2.2083333333333335,34.0,0.5,1.0833333333333333,13165
